Palavras,Solucoes
"('o', '-', 't', 'o', 'w', '-', 'w', 't', '-')",73
"('o', '-', 'o', 'w', 't', 't', '-', '-', 'w')",65
"('o', 'w', 't', 't', 'w', '-', '-', '-', 'o')",55
"('t', 'w', '-', '-', 't', '-', 'w', 'o', 'o')",52
"('o', 't', 'w', 'o', 'w', '-', 't', '-', '-')",68
"('w', 't', 't', '-', '-', 'o', 'o', '-', 'w')",56
"('o', 't', 'o', '-', 't', 'w', '-', 'w', '-')",57
"('o', '-', 'o', 'w', '-', 't', 'w', '-', 't')",0
"('-', 'o', 'o', 't', 't', 'w', '-', 'w', '-')",58
"('t', 'o', '-', '-', 'o', 'w', 'w', '-', 't')",62
"('t', 'w', '-', 'o', 't', 'w', '-', '-', 'o')",66
"('t', 'o', 'w', 't', '-', '-', 'o', 'w', '-')",73
"('-', 't', '-', 'o', 'o', 'w', '-', 'w', 't')",52
"('-', '-', 'o', '-', 'o', 'w', 'w', 't', 't')",48
"('o', '-', 't', 'o', 'w', 'w', 't', '-', '-')",69
"('o', 'o', 't', '-', '-', 'w', 't', 'w', '-')",63
"('-', 'w', 't', 'w', 't', 'o', 'o', '-', '-')",79
"('o', 't', 'w', 'w', '-', '-', 'o', 't', '-')",0
"('-', 'w', 'o', 't', 'o', '-', 'w', '-', 't')",46
"('w', 't', 'o', '-', '-', 'o', 'w', '-', 't')",0
"('t', 'w', 't', 'o', 'w', '-', '-', '-', 'o')",55
"('w', 'w', 't', 'o', 'o', '-', 't', '-', '-')",56
"('t', 't', '-', 'w', 'o', 'w', '-', 'o', '-')",0
"('-', 'w', 't', 'w', 'o', '-', 'o', 't', '-')",63
"('-', 'w', 'o', 'w', '-', 't', '-', 't', 'o')",90
"('t', '-', '-', 'o', 'w', 'w', 'o', 't', '-')",0
"('t', '-', 'o', '-', 'w', '-', 'o', 't', 'w')",76
"('w', '-', '-', 't', 'w', 'o', 't', '-', 'o')",0
"('o', 't', 't', '-', 'o', 'w', '-', '-', 'w')",0
"('w', '-', '-', 'o', 'o', 'w', 't', '-', 't')",33
"('-', 't', 't', '-', '-', 'w', 'o', 'o', 'w')",0
"('-', 'w', 'w', 'o', '-', 'o', 't', 't', '-')",84
"('w', 'o', 'w', 't', 't', '-', '-', '-', 'o')",79
"('w', 'w', '-', 't', 't', 'o', '-', 'o', '-')",48
"('t', 'w', 'o', 'w', '-', 't', '-', 'o', '-')",75
"('o', '-', '-', 't', '-', 'w', 'w', 't', 'o')",72
"('o', 't', '-', 't', '-', 'o', '-', 'w', 'w')",99
"('-', '-', '-', 't', 'w', 'o', 't', 'w', 'o')",0
"('w', '-', 't', 'o', 'w', '-', '-', 't', 'o')",54
"('-', 't', 'w', '-', 'w', '-', 't', 'o', 'o')",46
"('o', 'w', '-', '-', 'o', '-', 'w', 't', 't')",52
"('-', 't', '-', 'w', 'w', 'o', 't', 'o', '-')",63
"('-', 'o', '-', '-', 'o', 'w', 'w', 't', 't')",48
"('w', 't', '-', '-', 'w', '-', 'o', 't', 'o')",0
"('w', 'w', '-', 'o', '-', '-', 't', 'o', 't')",68
"('t', 'o', '-', 'w', 'w', '-', '-', 't', 'o')",84
"('-', 't', 'w', '-', 'o', 'o', '-', 't', 'w')",960
"('-', 'o', '-', 'o', 'w', 't', '-', 't', 'w')",52
"('w', 't', 'o', 't', 'o', '-', '-', '-', 'w')",66
"('w', 't', '-', '-', 't', 'w', 'o', 'o', '-')",74
"('t', 'w', '-', 'o', 'w', 'o', '-', '-', 't')",55
"('w', '-', 't', 'w', 'o', '-', 't', 'o', '-')",85
"('w', '-', 'o', 't', 'w', '-', 't', 'o', '-')",0
"('o', 't', 'o', '-', 'w', 'w', 't', '-', '-')",69
"('o', '-', '-', 'o', 'w', 'w', 't', 't', '-')",56
"('t', 't', '-', 'o', '-', '-', 'o', 'w', 'w')",0
"('o', 'w', 't', '-', 't', 'o', '-', 'w', '-')",75
"('w', 'w', 't', 'o', '-', 'o', '-', 't', '-')",75
"('w', 't', 'w', '-', '-', 't', '-', 'o', 'o')",21
"('w', '-', 't', '-', 'o', 't', 'o', '-', 'w')",51
"('t', 'o', '-', '-', 'w', '-', 't', 'w', 'o')",0
"('o', '-', 'w', 't', 'w', 'o', '-', 't', '-')",58
"('t', '-', 'o', 'w', 't', '-', 'w', '-', 'o')",0
"('t', 'o', 'w', 'o', 't', '-', '-', 'w', '-')",48
"('t', '-', '-', '-', 'w', 'w', 'o', 'o', 't')",71
"('w', '-', 't', '-', 'o', 'w', 't', '-', 'o')",86
"('o', '-', 'o', '-', 't', 'w', '-', 'w', 't')",72
"('-', 't', 'o', 'o', '-', '-', 't', 'w', 'w')",70
"('w', 'o', 'w', '-', 't', 't', 'o', '-', '-')",69
"('-', '-', 't', 't', 'w', 'o', 'o', 'w', '-')",105
"('-', 't', 'o', '-', '-', 'w', 'w', 'o', 't')",80
"('-', 'o', 'o', '-', 't', 't', '-', 'w', 'w')",200
"('-', 'o', '-', 'o', '-', 't', 't', 'w', 'w')",93
"('o', 't', 't', 'o', '-', 'w', '-', 'w', '-')",58
"('t', 'o', 'o', 'w', '-', '-', '-', 'w', 't')",50
"('-', 'w', '-', 't', '-', 'o', 't', 'w', 'o')",0
"('-', '-', 'w', 'o', 'w', '-', 't', 'o', 't')",62
"('t', '-', 'w', 'o', '-', 't', '-', 'o', 'w')",0
"('-', '-', '-', 'o', 't', 'o', 'w', 't', 'w')",0
"('w', 't', '-', 'o', '-', 't', 'o', '-', 'w')",0
"('w', 'o', 't', '-', 't', '-', 'o', 'w', '-')",44
"('-', 'w', '-', 'o', 'o', 'w', '-', 't', 't')",36
"('o', '-', 'w', 'w', '-', 't', 't', '-', 'o')",48
"('w', 't', 'w', 'o', '-', '-', 't', 'o', '-')",45
"('o', 'o', '-', 't', '-', 'w', '-', 'w', 't')",54
"('-', 't', 'o', 'w', 't', '-', '-', 'w', 'o')",85
"('-', 't', 'o', '-', 't', 'w', 'w', '-', 'o')",0
"('w', 't', 'o', 't', 'o', '-', '-', 'w', '-')",56
"('o', 't', 'w', '-', 'o', 't', '-', 'w', '-')",58
"('-', 'o', 'w', 't', 't', 'o', '-', 'w', '-')",58
"('t', '-', 'o', 'w', 't', 'o', '-', '-', 'w')",57
"('-', 'o', '-', '-', 't', 'w', 'o', 'w', 't')",62
"('-', 'o', 'o', 't', 'w', 't', '-', '-', 'w')",71
"('o', 'w', 'o', '-', 'w', '-', '-', 't', 't')",68
"('w', 't', 'o', 't', 'w', '-', '-', 'o', '-')",48
"('t', 't', '-', 'w', '-', '-', 'o', 'w', 'o')",68
"('o', '-', 'w', 't', 'o', '-', '-', 'w', 't')",54
"('w', 'w', 'o', 't', '-', 'o', '-', 't', '-')",66
"('o', '-', 'o', 'w', 't', 't', '-', 'w', '-')",58
"('-', 'w', 't', 'o', 'o', '-', '-', 'w', 't')",0
"('-', 'o', '-', '-', 'o', 't', 'w', 'w', 't')",120
"('w', 'o', 'w', 'o', '-', '-', '-', 't', 't')",99
"('t', '-', 'w', '-', 'w', 't', 'o', '-', 'o')",36
"('o', '-', 't', '-', '-', 'w', 't', 'w', 'o')",82
"('o', 'w', '-', 't', 'o', 't', '-', '-', 'w')",79
"('w', '-', '-', 'o', 't', '-', 'o', 't', 'w')",0
"('o', 'o', '-', '-', 't', '-', 'w', 'w', 't')",48
"('-', 't', '-', 't', '-', 'o', 'w', 'w', 'o')",0
"('-', 'o', 'w', '-', 'w', 't', 't', '-', 'o')",82
"('t', 'o', '-', '-', 't', '-', 'o', 'w', 'w')",52
"('-', 'o', 't', 'o', 't', 'w', '-', 'w', '-')",58
"('w', '-', 't', 'w', '-', '-', 'o', 'o', 't')",120
"('w', 'w', 't', 'o', 't', '-', '-', '-', 'o')",66
"('-', '-', 'o', 't', 't', 'w', 'o', '-', 'w')",0
"('w', 't', 't', 'w', '-', 'o', '-', '-', 'o')",0
"('w', '-', 't', 't', '-', '-', 'o', 'w', 'o')",28
"('-', 't', 'o', 'o', 'w', '-', '-', 'w', 't')",0
"('-', '-', 'w', 'o', 't', 'w', '-', 't', 'o')",80
"('w', 't', '-', 't', 'o', '-', 'o', '-', 'w')",62
"('-', 't', 'w', '-', 'w', 'o', 't', '-', 'o')",0
"('o', 'w', 'w', '-', 't', '-', '-', 't', 'o')",75
"('t', 'o', 'w', '-', 't', 'w', '-', 'o', '-')",0
"('-', 't', '-', 'o', 'w', 'w', 'o', '-', 't')",0
"('-', 'w', 'w', '-', 'o', 't', 'o', '-', 't')",0
"('o', 'w', '-', 't', 't', '-', 'w', 'o', '-')",36
"('-', 'o', 't', 'w', '-', 'w', '-', 'o', 't')",0
"('t', 't', 'w', 'o', 'w', '-', '-', '-', 'o')",66
"('o', 't', 't', 'w', 'w', '-', 'o', '-', '-')",0
"('o', 'w', '-', '-', 'o', 't', 't', '-', 'w')",83
"('o', 'w', '-', 't', 'w', '-', 'o', 't', '-')",0
"('o', 'w', '-', 'o', '-', 't', '-', 't', 'w')",77
"('o', 'o', '-', '-', 'w', 't', 'w', '-', 't')",120
"('-', 'w', 't', 'o', 'o', 'w', '-', 't', '-')",58
"('-', 'w', 'o', 'o', 't', 't', 'w', '-', '-')",69
"('w', '-', 't', '-', 'w', 't', '-', 'o', 'o')",73
"('w', 't', '-', '-', 'w', 'o', '-', 'o', 't')",52
"('w', 'o', '-', '-', 'o', '-', 'w', 't', 't')",0
"('o', '-', '-', 'o', 'w', '-', 't', 't', 'w')",58
"('-', '-', '-', 'w', 'w', 'o', 't', 'o', 't')",67
"('o', 't', '-', 'w', '-', 'o', 't', 'w', '-')",45
"('o', '-', '-', 't', 'w', '-', 'w', 't', 'o')",44
"('w', 't', 't', '-', 'o', '-', '-', 'o', 'w')",75
"('o', 't', 't', 'w', '-', '-', '-', 'o', 'w')",50
"('t', 'w', 'o', 't', '-', 'o', 'w', '-', '-')",66
"('o', '-', 'w', '-', 'o', 'w', 't', 't', '-')",53
"('w', '-', 'w', 'o', '-', 't', 't', 'o', '-')",86
"('-', 't', '-', '-', 'o', 'o', 'w', 'w', 't')",62
"('w', 'o', 't', '-', 't', '-', 'w', 'o', '-')",0
"('-', 't', 'w', '-', 'o', 't', '-', 'o', 'w')",960
"('o', '-', 'w', '-', 't', '-', 'w', 'o', 't')",76
"('o', '-', '-', 't', 'w', 'w', 'o', 't', '-')",0
"('o', 'w', '-', 'o', '-', '-', 'w', 't', 't')",72
"('o', 'w', 'w', 't', 'o', '-', '-', '-', 't')",66
"('w', 'w', 'o', 'o', 't', '-', 't', '-', '-')",70
"('t', 'o', 'o', '-', 'w', 'w', '-', 't', '-')",48
"('-', 't', 'o', 't', 'w', 'o', '-', '-', 'w')",73
"('o', 't', '-', '-', 'o', 't', 'w', 'w', '-')",33
"('-', 'o', '-', '-', 'w', 't', 't', 'o', 'w')",0
"('w', 'w', '-', 't', 'o', 'o', 't', '-', '-')",0
"('w', '-', 'w', '-', 't', 't', '-', 'o', 'o')",21
"('t', 't', '-', '-', 'w', '-', 'o', 'w', 'o')",0
"('t', '-', '-', '-', 't', 'w', 'w', 'o', 'o')",93
"('t', 'w', 't', 'o', 'o', 'w', '-', '-', '-')",93
"('t', 'w', 'o', '-', 't', 'o', '-', 'w', '-')",0
"('-', '-', '-', 'w', 't', 'w', 'o', 'o', 't')",75
"('o', 't', 'o', '-', 'w', '-', 'w', '-', 't')",68
"('w', 'w', 'o', 't', '-', '-', '-', 'o', 't')",54
"('-', 'o', '-', 't', '-', 'w', 'w', 'o', 't')",75
"('t', 'o', 't', '-', '-', 'w', '-', 'w', 'o')",72
"('w', 'o', '-', 't', '-', 'w', '-', 't', 'o')",77
"('o', 't', '-', 'w', 'w', '-', 'o', 't', '-')",0
"('o', 'w', 't', 'w', 'o', '-', '-', 't', '-')",48
"('-', 't', 'o', 'w', 'w', '-', '-', 't', 'o')",0
"('t', 'o', '-', '-', 'w', 't', 'w', '-', 'o')",68
"('w', '-', '-', 'w', 't', 'o', '-', 'o', 't')",77
"('t', '-', '-', '-', 't', 'o', 'w', 'w', 'o')",0
"('w', 'o', '-', 'w', '-', '-', 'o', 't', 't')",72
"('-', '-', 't', 'o', 'w', 't', '-', 'w', 'o')",80
"('w', 'o', 'w', '-', '-', '-', 't', 'o', 't')",0
"('w', '-', 'o', '-', 't', 't', '-', 'o', 'w')",54
"('-', '-', 'o', 'w', 't', 't', '-', 'o', 'w')",54
"('-', 'w', 'o', 'o', 't', 'w', '-', 't', '-')",75
"('t', '-', 'w', 't', '-', 'o', 'o', 'w', '-')",72
"('w', 't', 'o', '-', 't', '-', 'w', '-', 'o')",0
"('t', '-', '-', 'o', 'w', '-', 'o', 'w', 't')",0
"('-', '-', 'o', 'w', 't', '-', 'o', 't', 'w')",75
"('w', '-', 't', '-', 'o', 't', 'w', '-', 'o')",0
"('o', '-', 'o', 'w', '-', '-', 'w', 't', 't')",0
"('o', 't', 'o', 't', '-', '-', '-', 'w', 'w')",99
"('o', '-', 't', 'w', 'w', 't', '-', 'o', '-')",66
"('w', '-', 'o', '-', 't', '-', 'w', 't', 'o')",0
"('w', 'o', 't', 't', '-', 'o', 'w', '-', '-')",0
"('w', '-', '-', 'o', '-', 't', 'w', 't', 'o')",0
"('t', 'w', '-', 'w', 't', 'o', '-', '-', 'o')",0
"('w', '-', 't', '-', 't', '-', 'o', 'o', 'w')",71
"('t', 'o', 'w', '-', 't', '-', 'w', '-', 'o')",83
"('-', '-', 't', 'o', 'o', '-', 'w', 't', 'w')",67
"('w', '-', '-', 'o', 'w', '-', 'o', 't', 't')",0
"('-', 'w', '-', 'w', 't', 'o', 't', '-', 'o')",120
"('w', '-', '-', 't', 't', '-', 'o', 'o', 'w')",72
"('o', 't', '-', '-', 'w', 'w', 'o', 't', '-')",0
"('w', 'o', 't', '-', '-', '-', 'w', 'o', 't')",0
"('-', 'o', 'w', 't', '-', 'w', '-', 't', 'o')",63
"('-', 'o', 'o', 'w', '-', 't', '-', 't', 'w')",54
"('w', '-', '-', 't', '-', 'o', 't', 'w', 'o')",0
"('t', 't', '-', 'o', 'w', '-', 'o', 'w', '-')",0
"('w', 't', 't', '-', '-', '-', 'o', 'o', 'w')",71
"('w', '-', '-', '-', 't', 'w', 't', 'o', 'o')",70
"('-', '-', '-', 't', 'w', 'w', 't', 'o', 'o')",0
"('w', '-', 'o', 't', 't', '-', '-', 'w', 'o')",120
"('w', '-', 'w', 'o', 'o', '-', '-', 't', 't')",99
"('t', '-', 'w', '-', '-', 'w', 't', 'o', 'o')",0
"('t', 't', 'w', 'w', '-', '-', 'o', 'o', '-')",36
"('o', '-', 'w', '-', '-', 't', 'o', 't', 'w')",0
"('t', 'o', '-', 't', 'w', 'o', '-', '-', 'w')",70
"('-', 't', 'o', '-', 'o', 't', 'w', '-', 'w')",8
"('-', 'o', 't', 't', 'w', 'w', 'o', '-', '-')",69
"('t', 'w', 'o', '-', 'o', '-', 'w', '-', 't')",46
"('-', '-', 'w', 'o', 'o', 't', '-', 't', 'w')",90
"('t', 'o', 'w', '-', 't', '-', 'o', '-', 'w')",120
"('t', 'o', '-', 'w', 'w', 'o', '-', 't', '-')",56
"('-', 't', 't', 'w', 'o', 'o', '-', 'w', '-')",48
"('o', 't', 'w', '-', 'o', 't', '-', '-', 'w')",0
"('-', 't', 'w', 'o', '-', 'w', 'o', '-', 't')",0
"('-', 'o', '-', 't', 't', 'w', 'o', 'w', '-')",63
"('-', 'w', 't', '-', 'w', 't', 'o', 'o', '-')",48
"('w', 'o', 'w', 't', '-', 'o', '-', '-', 't')",65
"('t', 'w', '-', 't', '-', 'o', '-', 'w', 'o')",0
"('-', 'o', '-', 'w', 't', 'o', '-', 'w', 't')",67
"('-', 'o', 'w', '-', 'w', 't', '-', 't', 'o')",24
"('-', 'w', 't', '-', 't', 'o', '-', 'w', 'o')",960
"('o', 't', 't', 'w', '-', '-', 'o', '-', 'w')",0
"('-', 'o', 't', '-', 't', '-', 'w', 'w', 'o')",62
"('o', 'w', '-', 'w', 't', '-', 't', '-', 'o')",62
"('t', 'o', 'w', 'w', '-', 't', '-', '-', 'o')",56
"('-', 'w', 'o', 'o', '-', '-', 't', 'w', 't')",0
"('o', 'w', 'o', 'w', '-', '-', 't', '-', 't')",33
"('w', 'o', 't', 't', '-', 'w', '-', 'o', '-')",0
"('w', 'o', '-', '-', 'w', 't', 't', '-', 'o')",83
"('t', '-', 't', '-', '-', 'w', 'o', 'w', 'o')",42
"('o', 't', 'o', 't', 'w', 'w', '-', '-', '-')",93
"('t', '-', 'o', 'w', '-', 'o', '-', 'w', 't')",44
"('-', 'o', 't', '-', 'w', '-', 't', 'o', 'w')",0
"('o', 't', '-', 't', 'o', 'w', '-', 'w', '-')",48
"('-', 't', 'w', 'o', 'o', 'w', 't', '-', '-')",53
"('o', '-', 'w', 't', '-', 't', '-', 'o', 'w')",0
"('-', 'w', 'w', '-', 'o', 'o', 't', '-', 't')",8
"('w', 'o', '-', '-', '-', 'w', 'o', 't', 't')",70
"('w', '-', 'o', 't', 'o', 't', 'w', '-', '-')",0
"('-', 'o', 'o', '-', '-', 't', 'w', 'w', 't')",0
"('o', 'w', 'o', 'w', 't', '-', 't', '-', '-')",70
"('-', 't', 'w', 't', '-', 'o', 'w', 'o', '-')",63
"('-', 't', 't', '-', 'w', '-', 'w', 'o', 'o')",46
"('-', 'o', 't', '-', '-', 'w', 'w', 'o', 't')",0
"('w', 't', 't', '-', 'o', '-', 'o', '-', 'w')",46
"('w', '-', '-', 't', 'o', 't', '-', 'w', 'o')",77
"('w', 't', 'o', 'w', '-', 'o', '-', 't', '-')",85
"('o', 'w', '-', 't', '-', 'w', 'o', '-', 't')",0
"('-', '-', 't', 'w', '-', 'o', 'w', 'o', 't')",0
"('t', '-', 'w', 't', '-', 'o', '-', 'w', 'o')",100
"('o', '-', 't', 't', 'o', 'w', '-', 'w', '-')",75
"('-', 'w', '-', 'o', 't', 't', '-', 'w', 'o')",75
"('t', '-', 'o', 'o', '-', 'w', '-', 't', 'w')",0
"('w', '-', '-', 't', 'w', 'o', 'o', '-', 't')",72
"('t', 'o', 'w', 'o', '-', '-', 't', 'w', '-')",0
"('w', 't', 'o', 'o', 'w', '-', '-', '-', 't')",79
"('w', 'w', '-', '-', 't', 't', 'o', 'o', '-')",33
"('-', 'o', '-', 'o', 't', '-', 'w', 't', 'w')",0
"('t', 'o', 'w', '-', '-', '-', 'w', 'o', 't')",75
"('t', 'w', '-', 'o', 'o', 't', 'w', '-', '-')",70
"('w', '-', 'o', 'o', 't', 't', 'w', '-', '-')",0
"('w', 't', '-', 'w', 't', '-', 'o', '-', 'o')",60
"('w', '-', 'o', 'o', '-', 'w', 't', '-', 't')",200
"('t', '-', 'w', 'o', 'w', '-', 't', 'o', '-')",0
"('-', '-', 'o', 't', 'w', '-', 'w', 'o', 't')",51
"('w', 'o', 'w', '-', '-', 't', '-', 'o', 't')",0
"('-', 'o', 'w', 't', 'o', '-', '-', 't', 'w')",85
"('t', 'o', 'w', '-', '-', 't', 'w', '-', 'o')",86
"('o', '-', '-', 'o', 'w', 'w', '-', 't', 't')",38
"('o', 'w', '-', 'o', '-', 'w', 't', '-', 't')",79
"('-', '-', 'w', 'o', '-', 't', 't', 'o', 'w')",0
"('w', '-', 'o', 't', '-', '-', 't', 'o', 'w')",0
"('o', '-', 't', '-', 't', '-', 'o', 'w', 'w')",0
"('o', '-', '-', 'o', 't', '-', 'w', 'w', 't')",58
"('t', 'w', '-', 'o', 'w', '-', '-', 'o', 't')",60
"('w', 'o', '-', '-', 'w', '-', 't', 'o', 't')",0
"('-', 'o', '-', 'w', 't', 'o', 'w', 't', '-')",0
"('o', 'o', 'w', '-', '-', '-', 'w', 't', 't')",93
"('-', 'o', 't', 'o', 'w', 'w', 't', '-', '-')",79
"('w', 't', 'w', 't', 'o', '-', '-', 'o', '-')",0
"('w', 'o', 't', 'o', '-', '-', '-', 't', 'w')",54
"('w', '-', '-', '-', 'o', 'o', 't', 't', 'w')",71
"('t', '-', '-', 't', 'o', '-', 'o', 'w', 'w')",72
"('-', 't', '-', 'o', 't', 'o', 'w', '-', 'w')",38
"('t', 'w', '-', 'o', '-', '-', 't', 'o', 'w')",0
"('t', '-', 't', '-', 'o', '-', 'o', 'w', 'w')",70
"('-', 'o', 'w', 'o', 't', '-', 't', '-', 'w')",120
"('t', 'w', 'w', 'o', '-', 'o', '-', '-', 't')",65
"('o', 'w', '-', 't', '-', 't', '-', 'o', 'w')",77
"('o', '-', 'w', 't', 't', '-', 'o', 'w', '-')",0
"('-', 'o', '-', 't', 't', '-', 'o', 'w', 'w')",52
"('w', 'o', '-', 't', '-', '-', 'w', 'o', 't')",0
"('t', 't', 'o', 'w', '-', 'w', 'o', '-', '-')",86
"('w', 'o', '-', '-', 't', 't', 'o', 'w', '-')",44
"('w', 'w', 't', 't', 'o', 'o', '-', '-', '-')",93
"('w', 't', 't', 'o', '-', 'w', '-', 'o', '-')",58
"('-', 'o', 't', 't', 'o', 'w', '-', '-', 'w')",0
"('o', '-', 't', 'w', 'w', 'o', 't', '-', '-')",86
"('t', 'w', 'o', '-', 'o', '-', 't', '-', 'w')",0
"('o', 't', 't', '-', '-', '-', 'w', 'o', 'w')",62
"('w', 'o', 'o', '-', 'w', '-', 't', '-', 't')",84
"('w', 'w', 'o', '-', '-', 't', 't', 'o', '-')",63
"('t', '-', '-', 't', '-', 'w', 'o', 'o', 'w')",120
"('o', 'w', 'w', 't', '-', 'o', '-', 't', '-')",58
"('w', 'o', '-', 'o', '-', 't', 'w', '-', 't')",0
"('-', 't', 'o', '-', 'w', '-', 't', 'w', 'o')",0
"('-', 'o', 'w', 'w', 't', '-', '-', 'o', 't')",0
"('t', 'o', 'w', '-', '-', 't', 'o', 'w', '-')",56
"('o', '-', '-', 'o', 'w', 't', 'w', 't', '-')",73
"('o', 'w', '-', 't', '-', 'w', '-', 't', 'o')",50
"('t', '-', 'w', '-', 't', 'o', 'w', '-', 'o')",0
"('-', 't', 't', 'w', 'o', '-', 'w', 'o', '-')",0
"('t', 'w', '-', 'o', 'w', 'o', 't', '-', '-')",0
"('-', '-', 't', 't', 'w', '-', 'o', 'o', 'w')",75
"('w', 'o', 't', '-', '-', 'o', 'w', 't', '-')",0
"('t', '-', 'o', 'o', '-', 't', 'w', 'w', '-')",32
"('w', '-', 'w', 't', '-', 'o', '-', 'o', 't')",64
"('o', '-', 'w', 'w', '-', 't', 'o', '-', 't')",0
"('-', 'w', '-', 'o', 't', '-', 'o', 't', 'w')",0
"('t', '-', 'w', '-', 'o', 'w', '-', 'o', 't')",80
"('w', 'o', 't', '-', 'o', 'w', 't', '-', '-')",66
"('w', 'o', 'o', '-', '-', 't', 't', '-', 'w')",56
"('t', '-', '-', 'o', 'w', '-', 't', 'o', 'w')",0
"('-', 't', 'o', 'o', 't', '-', '-', 'w', 'w')",68
"('o', '-', 'o', 't', 'w', '-', 't', '-', 'w')",0
"('o', '-', 'w', '-', '-', 't', 'w', 'o', 't')",0
"('w', 'w', '-', 'o', 'o', '-', '-', 't', 't')",32
"('-', 'w', '-', 'w', 't', 't', 'o', 'o', '-')",33
"('w', 'o', '-', 't', 't', '-', 'w', 'o', '-')",0
"('t', 'w', 'o', 'o', '-', '-', 'w', 't', '-')",45
"('w', '-', 'w', 'o', 'o', 't', '-', 't', '-')",75
"('-', '-', 'o', 'w', 't', 't', 'o', '-', 'w')",56
"('-', '-', '-', 'o', 't', 't', 'w', 'w', 'o')",71
"('t', 't', '-', 'o', '-', 'w', '-', 'o', 'w')",120
"('o', '-', 'w', 'o', '-', '-', 't', 't', 'w')",120
"('t', 't', 'o', '-', '-', '-', 'o', 'w', 'w')",93
"('-', 'o', 'w', 't', 'w', 't', '-', '-', 'o')",71
"('-', 'w', 'o', 't', 't', '-', 'w', 'o', '-')",63
"('t', '-', 'o', 't', 'w', 'o', '-', 'w', '-')",85
"('w', 't', '-', 'o', '-', 't', 'o', 'w', '-')",0
"('-', 'o', 't', '-', 'o', '-', 'w', 'w', 't')",120
"('-', '-', 't', 'w', 'o', 'w', '-', 't', 'o')",72
"('t', 'w', 't', 'o', '-', 'o', '-', '-', 'w')",56
"('t', '-', 'o', 't', 'w', 'w', 'o', '-', '-')",69
"('-', 'w', 't', 't', 'o', 'w', '-', 'o', '-')",75
"('-', '-', 'w', 'w', 't', 'o', '-', 't', 'o')",0
"('o', 't', '-', '-', 't', 'w', '-', 'w', 'o')",54
"('o', '-', 'w', 'o', '-', '-', 't', 'w', 't')",52
"('o', 'w', '-', '-', 't', 'w', 't', 'o', '-')",44
"('t', 'w', '-', 'o', '-', '-', 'o', 't', 'w')",0
"('w', 't', '-', 'o', 't', '-', '-', 'o', 'w')",60
"('o', '-', 't', 't', 'o', '-', '-', 'w', 'w')",99
"('-', 't', 'w', 'o', '-', '-', 'w', 'o', 't')",76
"('o', 'w', 't', '-', '-', '-', 't', 'w', 'o')",75
"('t', 't', 'w', '-', 'o', 'o', '-', '-', 'w')",0
"('o', '-', '-', 't', 't', 'w', 'w', '-', 'o')",72
"('-', 'w', '-', 'o', 't', 'o', '-', 't', 'w')",0
"('-', 't', 'w', 'o', '-', '-', 'o', 't', 'w')",0
"('-', 'w', '-', 't', 'o', 'o', '-', 'w', 't')",75
"('-', 'o', '-', 'w', 'w', 't', 'o', '-', 't')",120
"('-', 't', 't', 'o', '-', 'o', '-', 'w', 'w')",21
"('o', 'w', 'o', 't', 'w', 't', '-', '-', '-')",42
"('t', 'o', '-', 't', 'w', '-', 'o', 'w', '-')",80
"('t', 'w', 't', '-', '-', '-', 'o', 'w', 'o')",0
"('o', '-', '-', 't', 'w', 't', '-', 'w', 'o')",95
"('-', 't', 't', 'w', 'o', '-', 'o', 'w', '-')",44
"('-', 'o', 'o', 't', 'w', '-', 't', 'w', '-')",0
"('o', 't', 'o', '-', 'w', 't', 'w', '-', '-')",69
"('w', 'o', '-', '-', 'w', 'o', '-', 't', 't')",36
"('-', 'w', 't', '-', 'o', '-', 'o', 't', 'w')",62
"('-', 'w', '-', 'o', '-', 'w', 't', 't', 'o')",71
"('-', 'w', 'o', '-', 't', 'w', 't', '-', 'o')",0
"('o', 'w', 'w', 't', 'o', '-', '-', 't', '-')",56
"('o', '-', '-', 'w', 't', 't', 'w', '-', 'o')",0
"('o', 't', 'w', '-', 'w', 't', '-', 'o', '-')",48
"('-', 't', 'w', 'w', 'o', 't', '-', '-', 'o')",71
"('o', 'o', 'w', 't', 't', '-', 'w', '-', '-')",56
"('-', 't', 'o', 'w', 'o', 'w', '-', 't', '-')",75
"('w', '-', 'o', 't', 'o', 'w', '-', 't', '-')",58
"('-', '-', 'o', '-', 't', 't', 'w', 'o', 'w')",52
"('w', '-', 'o', 't', 't', '-', '-', 'o', 'w')",54
"('o', '-', 't', 'o', '-', 't', 'w', 'w', '-')",50
"('t', 'w', '-', 'w', '-', '-', 'o', 't', 'o')",68
"('-', 'o', 't', '-', '-', 'w', 't', 'o', 'w')",0
"('o', 'w', '-', 'o', 't', 't', 'w', '-', '-')",68
"('w', 't', '-', '-', '-', 'o', 't', 'o', 'w')",51
"('w', '-', 't', 'w', 'o', 'o', '-', 't', '-')",58
"('w', '-', 'o', 't', 'w', 'o', '-', 't', '-')",66
"('t', '-', 'o', 'w', '-', 'w', 't', 'o', '-')",0
"('w', 'o', '-', '-', '-', 't', 'o', 't', 'w')",51
"('o', '-', '-', 't', 'w', 'w', 't', 'o', '-')",0
"('-', 'o', '-', 't', 'o', '-', 't', 'w', 'w')",0
"('o', '-', 'w', 't', 'w', 'o', '-', '-', 't')",65
"('o', 't', '-', 't', '-', 'w', 'o', '-', 'w')",0
"('o', 'w', '-', '-', '-', 'o', 'w', 't', 't')",70
